"site_code","treatment","avg_mass","avg_seeds","avg_length","avg_width","avg_volume","prop_cylindrical","avg_seed_mass_ratio","n_cucumbers","Site","Area_m2","Plots","WealthIndex","tcc200m","imp200m","tcc500m","imp500m","CWD_m2","wood_m2","FWD_m2","logs","bareground_m2","floral_area_m2","dev_high500m","dev_low500m","wetland500m","water500m","dev_high1000m","dev_low1000m","water1000m","wetland1000m","shrub_grass1000m","gbif.rich","gbif.shannon","gbif.simpson","floral.obs","flor.rich","flor.shannon","flor.simpson","bee.rich","bee.shannon","bee.simpson"
"SAB","Control",155.13425,58.75,102.6325,56.1975,157.5,0.75,0.37346383706956,4,"Sabin School Garden",887,27,135,11.30215827,43.58992806,14.72852234,45.35624284,0,488.9025,0,0,0,93.095,0.34010695,0.659893048,0,0,0.36026563,0.60846707,0.0016602103,0.0229662424,0.0066408412,176.626966292135,101.9812183579,61.2258620689655,93,54,43.7241676552235,35.3020408163266,NA,NA,NA
"SAB","Pollinated",162.6625,45,103.1325,55.1325,157.5,0.5,0.312174825955687,4,"Sabin School Garden",887,27,135,11.30215827,43.58992806,14.72852234,45.35624284,0,488.9025,0,0,0,93.095,0.34010695,0.659893048,0,0,0.36026563,0.60846707,0.0016602103,0.0229662424,0.0066408412,176.626966292135,101.9812183579,61.2258620689655,93,54,43.7241676552235,35.3020408163266,NA,NA,NA
"SAM","Control",110.645,71.5,92.69,47.4875,111.25,0,0.768795492019001,4,"Samuels School Community Garden",1642,55,157,12.58571429,42.82142857,16.23569794,38.48627002,15.815,135.9875,0.51,0,0,330.368,0.19871795,0.801282051,0,0,0.43217054,0.56782946,0,0,0,52.1245421245421,47.8681330040866,33.6818181818182,195,102,75.0491233870329,52.1604938271605,NA,NA,NA
"SAM","Pollinated",120.025,69.25,93.6425,52.87,118.75,0.25,0.57198908156971,4,"Samuels School Community Garden",1642,55,157,12.58571429,42.82142857,16.23569794,38.48627002,15.815,135.9875,0.51,0,0,330.368,0.19871795,0.801282051,0,0,0.43217054,0.56782946,0,0,0,52.1245421245421,47.8681330040866,33.6818181818182,195,102,75.0491233870329,52.1604938271605,NA,NA,NA
"SHO","Control",177.7466,54.75,114.902,47.664,190,0.6,0.277400546288769,5,"Shoshone Community Garden",415,12,108,8.434782609,60.99275362,9.577675489,59.71921749,0,145.15,0,2,0,51.768,0.81497326,0.185026738,0,0,0.76177285,0.23822715,0,0,0,174.518209529921,110.024852424434,68.6397748592872,111,68,54.1329993549251,38.8675078864353,NA,NA,NA
"SHO","Pollinated",178.121,65.3333333333333,115.275,51.7633333333333,190,0.833333333333333,0.372859144102966,6,"Shoshone Community Garden",415,12,108,8.434782609,60.99275362,9.577675489,59.71921749,0,145.15,0,2,0,51.768,0.81497326,0.185026738,0,0,0.76177285,0.23822715,0,0,0,174.518209529921,110.024852424434,68.6397748592872,111,68,54.1329993549251,38.8675078864353,NA,NA,NA
"SLA","Control",138.309625,57.125,96.31125,54.38625,141.875,0.5,0.419776515238115,8,"Slater Elementary School Community Garden",635,26,110,11.2173913,42.67391304,13.62025316,35.30840046,0,0,0,0,0,157.872,0.06303419,0.936965812,0,0,0.06980609,0.84376731,0.0326869806,0.0083102493,0.0454293629,117.668874172185,67.7367007405459,30.6910569105691,101,58,45.555876446417,35.2975778546713,NA,NA,NA
"SLA","Pollinated",101.274166666667,51.6666666666667,84.6583333333333,47.2066666666667,105.833333333333,0.5,0.693761363140849,6,"Slater Elementary School Community Garden",635,26,110,11.2173913,42.67391304,13.62025316,35.30840046,0,0,0,0,0,157.872,0.06303419,0.936965812,0,0,0.06980609,0.84376731,0.0326869806,0.0083102493,0.0454293629,117.668874172185,67.7367007405459,30.6910569105691,101,58,45.555876446417,35.2975778546713,NA,NA,NA
"STE","Control",155.85,38,105.41,56.65,150,0,0.243824189926211,1,"Steck School Community Garden",465,17,272,23.29496403,34,20.81672394,40.29667812,0.54,194.425,0.385,0,0,135.039,0.24089936,0.759100642,0,0,0.39778393,0.60221607,0,0,0,113.974545454545,77.3778668041386,39.0789473684211,63,38,32.6379678535732,28.1489361702128,NA,NA,NA
"STE","Pollinated",155.275,53,106.015,51.4225,162.5,0.5,0.346845482697088,4,"Steck School Community Garden",465,17,272,23.29496403,34,20.81672394,40.29667812,0.54,194.425,0.385,0,0,135.039,0.24089936,0.759100642,0,0,0.39778393,0.60221607,0,0,0,113.974545454545,77.3778668041386,39.0789473684211,63,38,32.6379678535732,28.1489361702128,NA,NA,NA
"WES","Control",141.27,38.6666666666667,100.913333333333,51.815,150,0.5,0.251024247939492,6,"West Colfax Community Urban Garden",1108,38,82,11.43065693,41.71532847,12.36009174,45.48623853,9.5975,0,1.1475,0,104.04,212.637,0.36256684,0.637433155,0,0,0.50304709,0.49695291,0,0,0,147.458333333333,75.8348508511925,33.7225130890052,184,66,41.2899966861059,26.45,NA,NA,NA
"WES","Pollinated",191.755,64.25,108,57.2575,195,0.75,0.290921349665034,4,"West Colfax Community Urban Garden",1108,38,82,11.43065693,41.71532847,12.36009174,45.48623853,9.5975,0,1.1475,0,104.04,212.637,0.36256684,0.637433155,0,0,0.50304709,0.49695291,0,0,0,147.458333333333,75.8348508511925,33.7225130890052,184,66,41.2899966861059,26.45,NA,NA,NA
