date,time,site,color ,level,amb_C°,C°_top_s,C°_bot_s,C°_top_b ,C°_bot_b,C°_cent_s,C°_cent_b,Humidity,Notes 
13/6/25,15:15,GAB,W,T,34.1,38.5,36.5,39.7,38,37.6,37,33,
13/6/25,15:15,GAB,B,B,34.1,35.1,33.8,33.6,33,33,32.7,33,
13/6/25,16:14,COO,W,T,31.6,29.9,29.8,29.7,29.8,29.9,30.3,30.2,
13/6/25,16:14,COO,B,B,31.6,32.9,33.2,34.2,35,35.3,34,30.2,
13/6/25,16:47,GEO,,,30.1,,,,,,,22.3,
27/6/25,10:07,KCAA,B,T,29.7,33.1,35.2,41.4,35,33.9,35,28.3,
27/6/25,10:07,KCAA,W,B,29.7,30.5,30.1,29.7,30.8,30.7,30.1,28.3,
27/6/25,10:49,SAB,W,T,32.1,33.5,32.6,33,33.5,33.1,32.8,24.7,
27/6/25,10:49,SAB,B,B,32.1,33.5,36.1,41.3,38,35.3,36.8,24.7,
27/6/25,11:13,JEF,,,34.6,,,,,,,,
27/6/25,11:28,GABL,B,T,35.4,39.7,38,44,38.1,38.2,38.5,30.4,
27/6/25,11:28,GABL,W,B,35.4,34.1,32.6,32.1,32.7,38,32.4,30.4,
27/6/25,12:12,RUB,W,T,34.8,35.7,34.8,35,35,35.3,35.4,34.7,
27/6/25,12:12,RUB,B,B,34.8,42,37.9,37.7,39.7,38.1,37.8,34.7,
27/6/25,12:51,WES,W,T,34.5,34.4,34,34.4,34.4,34.8,34.7,32.8,
27/6/25,12:51,WES,B,B,34.5,36.1,36.2,36.8,37.6,37.4,37.1,32.8,
27/6/25,13:15,EDI,,,32.3,,,,,,,,
27/6/25,13:45,SHO,B,T,33,34.5,34,35.5,35.3,35.1,36.6,31.5,
27/6/25,13:45,SHO,W,B,33,32.5,32.4,32.4,32.5,32.9,33.1,31.5,
27/6/25,14:26,SLA,B,T,36.1,43,37.8,40.7,41,40.6,39.7,33.4,
27/6/25,14:26,SLA,W,B,36.1,32.5,33.5,33.8,33.5,33.8,33.4,33.4,
27/6/25,14:56,EIB,W,T,32.6,35.3,34.6,34.7,34.7,35.5,35.3,24.3,
27/6/25,14:56,EIB,B,B,32.6,37.1,37.2,43.2,39.3,38.7,39.4,24.3,
27/6/25,15:40,APP,B,T,31.5,37.9,38.1,44.9,38.8,38,39.8,28.6,
27/6/25,15:40,APP,W,B,31.5,33.6,32.9,33,33.4,33.3,32.7,28.6,
27/6/25,11:38,CHA,B,T,34.8,42.2,37.6,42.2,40.9,37.8,37.3,20.5,
27/6/25,11:38,CHA,W,B,34.8,34.2,33.5,33.7,32.6,31.3,31.4,20.5,
27/6/25,12:48,SAM,,,32,,,,,,,16.2,
27/6/25,13:28,GABR,W,T,31.8,32,32.3,32.2,32.2,32.3,32.1,16.1,
27/6/25,13:30,GABR,B,B,31.2,33,33.3,33.9,33.1,33.6,34.3,16.1,
27/6/25,14:55,COO,W,T,36.3,37.3,37,36.7,36.9,37,36.8,20.5,
27/6/25,14:55,COO,B,B,36.3,39.8,39.1,38.7,39.3,38.3,38.3,20.5,
27/6/25,17:10,PAL,W,T,32.5,33,33.5,33.5,33.3,33.4,33.3,23.4,
27/6/25,17:10,PAL,B,B,32.5,34.4,34.6,37.1,36.1,35.4,36.1,23.4,
27/6/25,17:36,PAR ,B,T,32.2,36.5,39,43.6,39,36.8,38,16.4,
27/6/25,17:36,PAR ,W,B,32.2,35,33.9,33.4,34,34,33.5,16.4,
27/6/25,19:06,GRE,B,T,33.3,38.2,36.4,35.8,40.3,39.6,38.7,24.1,
27/6/25,19:06,GRE,W,B,33.3,35.4,35,34,33,33.7,33.6,24.1,
5/7/25,9:30,SHO ,B,T,26,34.9,30.7,32.4,36.3,33.8,33.1,39.1,
5/7/25,9:30,SHO ,W,B,26,29.2,27.6,28.1,28.6,28.2,28,39.1,
5/7/25,10:12,MAR,,,27.5,,,,,,,35,
5/7/25,11:09,KCAA,B,T,30.3,35.8,35,38.5,35.6,34.3,35.2,26.7,
5/7/25,11:09,KCAA,W,B,30.3,33,30.8,30.3,31.3,31.5,31.1,26.7,
5/7/25,11:43,SAB,W,T,33.1,32.9,32.2,32.7,32.3,32.3,32.4,27.1,
5/7/25,11:43,SAB,B,B,33.1,33.8,34.7,35.7,36.5,35.2,35.6,27.1,
5/7/25,12:25,JEF,,,35.3,,,,,,,25.3,
5/7/25,12:48,GAB,B,T,31.2,37.7,35.5,40.2,37.8,35.8,38,20.8,
5/7/25,12:48,GAB,W,B,31.2,33.5,32.5,32.1,32.6,32.2,32.2,20.8,
5/7/25,13:47,EIB,W,T,34.3,36.2,35,35.3,35.5,35.7,35.6,22.3,
5/7/25,13:47,EIB,B,B,34.3,36.6,37.1,40,40.7,37,36.9,22.3,
5/7/25,15:00,APP ,T,B,26.5,24.2,24.1,26.4,25.4,25.1,25.6,46.3,Had just rained so humidity was high 
