Site,site_code,date,plant_code,treatment,mass_g,no_seeds,length_mm,width,volume_mL,cylindrical,notes,,
Cook Park Community Garden,COO,7/22,COO-pre-t,Pollinated,184.19,39,109.07,59.46,190,No,,,
Market Station Community Garden,MAR,7/22,MAR-pre-t,Pollinated,155.64,40,86.47,57.78,160,No,,,
Greenway Community Garden,GRE,7/22,GRE-pre-c,Control,248.43,129,133.4,58.24,250,Yes,,,
Gabriel Cam Memorial Community Garden,GABR,7/22,GABR-pre-c,Control,195.27,70,108,55.94,200,Yes,,,
Park Hill School Garden,PAR,7/22,PAR-pre-c,Control,208.04,108,131.5,53.38,210,Yes,,,
Park Hill School Garden,PAR,7/18,PAR-pre-t,Pollinated,139,15,90.11,61.24,150,No,,,
West Colfax Community Urban Garden,WES,7/22,WES-pol2-c,Control,163.82,53,90.41,61.95,130,No,,,
West Colfax Community Urban Garden,WES,7/22,WES-pre-t,Pollinated,117.88,21,82.36,53.85,130,No,,,
KCAA Community Studio Garden,KCA,7/22,KCA-pol2-t,Pollinated,87.45,25,95.14,32.4,90,No,,,
Shoshone Community Garden,SHO,7/22,SHO-pre-t,Pollinated,127.63,35,104.25,42.27,170,No,,,
Charles Hay Community Garden,CHA,7/25,CHA-pre-t,Pollinated,70.01,10,71.87,46.74,70,No,browning,,
Charles Hay Community Garden,CHA,7/25,CHA-pre-c,Control,66.4,41,66.81,43.77,70,No,browning,,
Gabriel Cam Memorial Community Garden,GABR,7/25,GABR-po2-t,Pollinated,219.69,61,118.56,61.59,230,No,,,
Charles Hay Community Garden,CHA,7/25,CHA-pre-t,Pollinated,167.84,89,101.73,59.1,160,No,,,
Gabriel Cam Memorial Community Garden,GABR,7/25,GABR-pol1-c,Control,170.33,115,112.08,49.32,170,Yes,,,
Greenway Community Garden,GRE,7/25,GRE-pol1-t,Pollinated,230.5,87,114.13,58.97,240,Yes,,,
Charles Hay Community Garden,CHA,7/29,CHA-pol2-t,Pollinated,82.4,28,75.04,49.37,70,No,,,
Greenway Community Garden,GRE,8/1,GRE-pol1-C,Control,300.31,120,126.82,62.51,310,Yes,,,
Market Station Community Garden,MAR,7/29,MAR-pol1-t,Pollinated,122.24,14,78.31,57.78,120,No,,,
Park Hill School Garden,PAR,8/1,PAR-pol2-t,Pollinated,153.43,107,102.58,50.39,150,Yes,,,
Steck School Community Garden,STE,8/1,STE-pol2-t,Pollinated,108.11,43,80.67,49.12,110,No,,,
Cook Park Community Garden,COO,7/29,COO-pre-t-B,Pollinated,237.34,152,132.51,54.82,250,Yes,,,
Greenway Community Garden,GRE,8/1,GRE-pol2-t,Pollinated,257.4,88,127.01,59.74,270,Yes,,,
Park Hill School Garden,PAR,8/1,PAR-pol1-c,Control,148.63,145,103.29,53.05,150,Yes,,,
Greenway Community Garden,GRE,8/1,GRE-pre-t-B,Pollinated,222.26,165,135.3,59.24,230,Yes,,,
Gabriel Cam Memorial Community Garden,GABR,8/1,GABR-pol1-t,Pollinated,180.38,46,112.78,56.33,190,Yes,,,
Greenway Community Garden,GRE,8/1,GRE-pre-t-A,Pollinated,186.66,113,116.78,55.29,180,Yes,,,
Shoshone Community Garden,SHO,7/31,SHO-pol2-t,Pollinated,198.48,63,111.01,54.62,200,Yes,,,
Gabriel Cam Memorial Community Garden,GABR,8/1,GABR-pol2-C,Control,130.43,88,104.04,50.18,120,No,,,
Market Station Community Garden,MAR,7/29,MAR-pol2-c,Control,143.64,50,104.75,53.77,140,No,,,
Charles Hay Community Garden,CHA,7/29,CHA-pol1-c,Control,115.89,64,77.75,56.73,110,No,,,
Park Hill School Garden,PAR,7/29,PAR-pol2-c,Control,158.41,55,104.73,59.01,170,No,,,
Market Station Community Garden,MAR,7/29,MAR-pol2-t,Pollinated,160.16,37,90.13,61.91,150,No,,,
Park Hill School Garden,PAR,7/29,PAR-pre-c,Control,112.12,40,79.66,48.86,110,No,,,
Samuels School Community Garden,SAM,7/29,SAM-pol1-t,Pollinated,49.99,15,62.35,44.58,50,No,,,
Greenway Community Garden,GRE,7/29,GRE-pol2-t,Pollinated,300.81,136,144.66,62.05,300,Yes,,,
Cook Park Community Garden,COO,7/29,COO-pre-t-a,Pollinated,197.27,130,110.56,57.34,200,Yes,,,
Greenway Community Garden,GRE,8/11,GRE-pol2-c-a,Control,192.68,112,123.4,53.56,190,No,,,
Cook Park Community Garden,COO,8/11,COO-pol2-t,Pollinated,100.14,30,69.95,55.19,100,No,,,
Ruby Hill Park Community Garden,RUB,8/11,RUB-pol2-c,Control,200.16,65,120.76,53.18,200,Yes,,,
Greenway Community Garden,GRE,8/11,GRE-pol2-c-b,Control,247.76,134,135.6,62.55,250,Yes,,,
Greenway Community Garden,GRE,8/11,GRE-pol1-c,Control,218.7,125,117.34,56.19,220,No,,,
Gables School and Community Garden,GABL,8/1,GABL-pol2-c,Control,229.5,134,113.51,60.57,230,No,,,
Slater Elementary School Community Garden,SLA,8/1,SLA-pre-c,Control,166.47,37,86.6,62.08,170,No,,,
Cook Park Community Garden,COO,8/14,COO-pre-t,Pollinated,283.77,149,131.73,64.43,290,No,,,
Greenway Community Garden,GRE,8/14,GRE-pre-t,Pollinated,223.24,138,124.93,61.27,220,No,,,
Park Hill School Garden,PAR,8/14,PAR-pol1-t,Pollinated,223.22,94,90.61,62.63,230,Yes,,,
GW School and Community Garden,GW,8/8,GW-pol1-c,Control,240.99,49,107.38,60.15,240,Yes,,,
Edison School Community Garden,EDI,7/29,EDI-pre-t-a,Pollinated,111.42,64,92.34,52.12,120,No,,,
Sabin School Garden,SAB,7/29,SAB-pol2-c,Control,154.68,41,93.01,61.43,150,No,,,
Gabriel Cam Memorial Community Garden,GABR,8/8,GABR-pre-t,Pollinated,161.18,30,108.5,54.09,180,Yes,,,
Steck School Community Garden,STE,8/8,STE-pol2-t,Pollinated,187.7,39,113.05,52.62,210,Yes,,,
Edison School Community Garden,EDI,7/29,EDI-pre-t-b,Pollinated,183.1,62,96.3,64.14,200,No,,,
Cook Park Community Garden,COO,8/8,COO-pol1-t,Pollinated,202.57,91,124.94,54.47,230,Yes,,,
Shoshone Community Garden,SHO,8/14,SHO-pol1-t,Pollinated,266.1,101,138.02,60.75,280,Yes,,,
Sabin School Garden,SAB,8/14,SAB-pol1-c,Control,140.1,56,96.2,53.33,140,Yes,very yellow,,
Sabin School Garden,SAB,8/14,SAB-pre-t-b,Pollinated,93.03,55,89.92,45.55,90,No,,,
Sabin School Garden,SAB,8/14,SAB-pre-c,Control,138.31,49,86.2,55.69,140,Yes,,,
Eiber School Community Garden,EIB,8/14,EIB-pol1-c-a,Control,126.49,40,101.43,51.62,130,No,,,
Eiber School Community Garden,EIB,8/14,EIB-pol1-c-b,Control,152.74,53,97.45,54.59,155,Yes,,,
Edison School Community Garden,EDI,8/14,EDI-pre-c,Control,168.17,64,97.31,59.51,180,Yes,,,
Applewood Community Garden,APP,8/14,APP-pol-t,Pollinated,94.34,33,79.53,49.38,90,No,,,
Sabin School Garden,SAB,8/14,SAB-pol2-t,Pollinated,212.67,59,117.63,60.55,210,Yes,,,
West Colfax Community Urban Garden,WES,8/14,WES-pol1-t,Pollinated,113.83,22,83.29,50.99,110,Yes,,,
Sabin School Garden,SAB,8/14,SAB-pre-t-a,Pollinated,195.04,39,111.45,56.61,190,Yes,,,
Shoshone Community Garden,SHO,8/14,SHO-pol1-c,Control,235.98,109,125.42,58.57,240,Yes,,,
Applewood Community Garden,APP,8/14,APP-pre-t,Pollinated,47.8,4,71.04,29.55,50,No,"maybe picked too early, not yellowing",,
Slater Elementary School Community Garden,SLA,8/14,SLA-pol1-c,Control,113.53,34,83.78,50.84,120,Yes,,,
KCAA Community Studio Garden,KCA,8/14,KCA-pre-c,Control,48.43,24,63.34,35.1,120,No,,,
Edison School Community Garden,EDI,8/14,EDI-pol2-c,Control,67.65,25,63.46,44.84,65,No,,,
Slater Elementary School Community Garden,SLA,8/14,SLA-pol2-c,Control,157.26,113,106.48,50.22,160,Yes,,,
